graph_variant,beta_strategy,alpha,dataset,original_score,retrofitted_score,delta,evaluated_pairs,total_pairs,coverage
WN_all,symmetric_degree,0.5,WS-353,0.6085,0.6274,0.0189,353,353,1.0
WN_all,symmetric_degree,0.5,SimLex-999,0.3705,0.519,0.1485,999,999,1.0
WN_all,symmetric_degree,0.5,RG-65,0.7695,0.8846,0.115,65,65,1.0
WN_all,symmetric_degree,1.0,WS-353,0.6085,0.6622,0.0537,353,353,1.0
WN_all,symmetric_degree,1.0,SimLex-999,0.3705,0.508,0.1375,999,999,1.0
WN_all,symmetric_degree,1.0,RG-65,0.7695,0.867,0.0975,65,65,1.0
WN_all,symmetric_degree,2.0,WS-353,0.6085,0.653,0.0445,353,353,1.0
WN_all,symmetric_degree,2.0,SimLex-999,0.3705,0.4721,0.1016,999,999,1.0
WN_all,symmetric_degree,2.0,RG-65,0.7695,0.8374,0.0679,65,65,1.0
WN_all,symmetric_degree,0.5,WS-353,0.6085,0.6274,0.0189,353,353,1.0
WN_all,symmetric_degree,0.5,SimLex-999,0.3705,0.519,0.1485,999,999,1.0
WN_all,symmetric_degree,0.5,RG-65,0.7695,0.8846,0.115,65,65,1.0
WN_all,symmetric_degree,1.0,WS-353,0.6085,0.6622,0.0537,353,353,1.0
WN_all,symmetric_degree,1.0,SimLex-999,0.3705,0.508,0.1375,999,999,1.0
WN_all,symmetric_degree,1.0,RG-65,0.7695,0.867,0.0975,65,65,1.0
WN_all,symmetric_degree,2.0,WS-353,0.6085,0.653,0.0445,353,353,1.0
WN_all,symmetric_degree,2.0,SimLex-999,0.3705,0.4721,0.1016,999,999,1.0
WN_all,symmetric_degree,2.0,RG-65,0.7695,0.8374,0.0679,65,65,1.0
